sp_id	gq_type	stcotrbg	persons	latitude	longitude
450000887	C	510594405021	4728	38.8308803	-77.3079395
450005468	M	510594162002	86	38.7017778	-77.1384332
450005469	M	510594219002	272	38.7252464	-77.1578566
450006937	P	510594405023	548	38.8443337	-77.3109638
450007980	P	510594405023	548	38.8448867	-77.3138637
450024116	P	510594217021	2	38.7366798	-77.1201591
450024117	P	510594405023	42	38.8450139	-77.3109051
450024118	P	510594405023	3	38.8450139	-77.3109051
450024119	P	510594405023	111	38.8450139	-77.3109051
450024120	P	510594605023	6	38.9021512	-77.2322010
450024121	P	510594605023	2	38.9021512	-77.2322010
450024122	P	510594905023	20	38.8404212	-77.3571453
450024123	P	510594905023	1	38.8404212	-77.3571453
450024124	P	510594915011	4	38.8406202	-77.4219310
450024125	P	510594915011	4	38.8406202	-77.4219310
450024126	P	510594917051	10	38.8482737	-77.3890245
450024127	P	510594920001	4	38.8230508	-77.3335135
450024128	P	510594920001	2	38.8230508	-77.3335135
450031709	N	510594155003	46	38.7390450	-77.0790724
450031710	N	510594220001	111	38.7102683	-77.1901135
450031711	N	510594316001	105	38.7652854	-77.1963334
450031712	N	510594510002	188	38.8365737	-77.1757248
450031713	N	510594606002	111	38.8908833	-77.2212442
450031714	N	510594709001	23	38.9209627	-77.1539296
450037115	N	510594155003	44	38.7371661	-77.0779491
450037116	N	510594322022	56	38.7857379	-77.2783606
450037117	N	510594401001	25	38.8648332	-77.2630040
450037118	N	510594521021	59	38.8118237	-77.1900275
450037119	N	510594521021	58	38.8118285	-77.1895875
450037120	N	510594822031	88	38.9639188	-77.3609502
450037121	N	510594905023	101	38.8501282	-77.3427798
450037963	N	510594316001	103	38.7652854	-77.1963334
450037964	N	510594322022	54	38.7856737	-77.2784018
450038483	N	510594822031	87	38.9626425	-77.3567025
450039454	N	510594515022	103	38.8474031	-77.1182532
450040491	N	510594401001	25	38.8648490	-77.2622676
450041507	N	510594709001	22	38.9204880	-77.1543554
450042565	N	510594709002	38	38.9063829	-77.1629971
450046556	N	510594155002	86	38.7376585	-77.0599153
450046557	N	510594507021	7	38.8380769	-77.2041985
450046558	N	510594528011	8	38.8389294	-77.1294184
450046559	N	510594709004	98	38.9070176	-77.1771831
