sp_id	sp_gq_id	age	sex
940222478	450046556	87	F
940222479	450046556	79	F
940222460	450046556	96	F
939303968	450046556	55	F
939303969	450046556	63	F
939303970	450046556	58	F
939303971	450046556	30	F
939303972	450046556	63	F
940222434	450046556	85	F
940222433	450046556	77	F
940410402	450046556	61	M
940410401	450046556	52	M
940410400	450046556	36	M
940410399	450046556	36	M
940410398	450046556	29	M
940410397	450046556	61	M
940410396	450046556	54	M
940222443	450046556	82	F
940222461	450046556	89	F
940222462	450046556	92	F
940222463	450046556	86	F
940222464	450046556	76	F
940222465	450046556	73	F
940222466	450046556	79	F
940222467	450046556	69	F
940222468	450046556	90	F
940222469	450046556	82	F
940222470	450046556	69	F
940222442	450046556	78	F
940222441	450046556	85	F
940222440	450046556	99	F
940222439	450046556	87	F
940222438	450046556	96	F
940222444	450046556	71	F
940222445	450046556	77	F
940222446	450046556	72	F
940222447	450046556	76	F
940222471	450046556	94	F
940222448	450046556	71	F
940222449	450046556	87	F
940222450	450046556	100	F
939303973	450046556	58	F
939303974	450046556	62	F
939303975	450046556	62	F
939303976	450046556	56	F
939303977	450046556	47	F
940222437	450046556	82	F
940757181	450046556	90	M
940757180	450046556	75	M
940757179	450046556	90	M
940757178	450046556	86	M
940757177	450046556	76	M
940757176	450046556	87	M
940757175	450046556	79	M
940757174	450046556	94	M
940757173	450046556	86	M
940757172	450046556	86	M
940757171	450046556	76	M
940757170	450046556	74	M
940757169	450046556	91	M
940757168	450046556	91	M
940757167	450046556	82	M
940757166	450046556	89	M
940757165	450046556	76	M
940757164	450046556	66	M
940757163	450046556	87	M
940757162	450046556	81	M
940757161	450046556	69	M
940757160	450046556	80	M
940222472	450046556	77	F
940222473	450046556	68	F
940222474	450046556	86	F
940222475	450046556	105	F
940222476	450046556	90	F
940222477	450046556	78	F
940222436	450046556	76	F
940222435	450046556	88	F
940222451	450046556	90	F
940222452	450046556	86	F
940222453	450046556	86	F
940222454	450046556	88	F
940222455	450046556	86	F
940222456	450046556	92	F
940222457	450046556	76	F
940222458	450046556	87	F
940222459	450046556	94	F
939668423	450031709	69	F
939668425	450031709	103	F
939668426	450031709	86	F
939668427	450031709	90	F
939668428	450031709	89	F
939668429	450031709	93	F
939668430	450031709	74	F
939668431	450031709	90	F
940535255	450031709	75	M
940535256	450031709	76	M
940535257	450031709	69	M
940535258	450031709	86	M
940535259	450031709	81	M
940535260	450031709	87	M
940535261	450031709	81	M
940535262	450031709	67	M
940535263	450031709	77	M
940325939	450031709	58	M
939668397	450031709	84	F
939668398	450031709	90	F
939668399	450031709	84	F
939668400	450031709	102	F
939668401	450031709	95	F
939668402	450031709	86	F
939668403	450031709	89	F
939668404	450031709	81	F
939668405	450031709	84	F
939668406	450031709	82	F
939668407	450031709	92	F
939668408	450031709	89	F
939668409	450031709	90	F
939668410	450031709	87	F
939668411	450031709	69	F
939668412	450031709	89	F
939668413	450031709	70	F
939668414	450031709	82	F
939668415	450031709	98	F
939668416	450031709	91	F
939668417	450031709	100	F
939668418	450031709	86	F
939668419	450031709	88	F
939668420	450031709	96	F
939668421	450031709	92	F
939668422	450031709	65	F
939668424	450031709	83	F
