sp_id	latitude	longitude
507828229	38.6128623	-76.9078288
517168509	38.8478522	-77.3195406
517152985	38.8472622	-77.3941586
502907379	38.9189522	-77.0143387
517022973	38.6675623	-77.3412486
508277260	38.9953922	-77.0452587
517167552	38.8633992	-77.3299786
502871564	38.9178522	-77.0981987
517150164	38.9693822	-77.4040586
502876573	38.9094572	-77.0644987
508257262	39.0850782	-77.1180727
517067760	38.3437025	-81.6244373
517139220	38.8532942	-77.4511136
517237733	38.8046322	-77.0595087
517128997	39.0900522	-77.5115985
517217475	38.8828222	-77.1275487
517235443	38.8598202	-77.0634037
517217166	38.8599562	-77.1273947
508262814	38.9884822	-77.0966777
517234709	38.8938422	-77.0714687
517221319	38.8785782	-77.1119797
502888413	38.9033722	-77.0406887
517170387	38.8477062	-77.3108476
517177569	38.7249423	-77.2786686
508944003	42.3036013	-71.3544903
517126285	39.0982282	-77.5245805
517164722	38.9638240	-77.3437168
508262349	39.0137642	-77.0993087
517186743	38.9526022	-77.2356686
517203206	38.9312072	-77.1810667
517232610	38.8452222	-77.0773687
502887578	38.9021722	-77.0412287
508259753	39.0567212	-77.1090127
517221215	38.8933022	-77.1155187
517226450	38.8639422	-77.0982187
517014608	38.6914623	-77.2239587
517216406	38.8100902	-77.1285897
507809740	38.3533923	-75.5800092
517176786	38.8282922	-77.2823886
508299920	38.9737622	-76.9431187
517225196	38.7890722	-77.1031087
508277946	39.0071752	-77.0396287
502901428	38.8962939	-77.0259449
517180799	38.8507722	-77.2645286
517232080	38.8485922	-77.0798987
517213731	38.8960532	-77.1394207
517227024	38.7663922	-77.0946887
517172411	38.8807592	-77.3015386
517189459	38.7129623	-77.2289587
508313186	38.8118042	-76.8955058
517162701	38.9380147	-77.3513162
517134271	39.0771442	-77.4764376
517185927	38.8677322	-77.2378486
517164815	38.8548222	-77.3394086
517213565	38.9287522	-77.1430487
517221938	38.8329622	-77.1133187
517176773	38.8255522	-77.2830186
517228691	38.8902522	-77.0893787
508286867	39.1092642	-76.9974717
517178074	38.7554223	-77.2746886
508338569	39.0010322	-76.8185788
508310901	39.0386892	-76.9019637
517169980	38.8486922	-77.3166386
517175554	38.9172022	-77.2940586
502916713	38.8476822	-76.9809187
517162853	38.8649822	-77.3502086
517226085	38.8887222	-77.0990687
517205973	38.8832382	-77.1725997
517200617	38.8946622	-77.1918187
517211766	38.8694602	-77.1479237
517157207	38.9675122	-77.3783286
517240455	38.8033722	-77.0512287
517125362	38.7612943	-77.5343056
517215108	38.7499322	-77.1356887
517223078	38.8142922	-77.1089087
508243826	38.9770022	-77.1761387
502910048	38.8852002	-77.0014397
517215269	38.8468922	-77.1363587
517201311	38.9325422	-77.1882687
508314342	39.0514022	-76.8936787
517203868	38.9337792	-77.1794807
517212619	38.7999422	-77.1456087
517176290	38.8935022	-77.2846386
502872720	38.9335822	-77.0847687
517146357	38.8217122	-77.4200486
517219626	38.8843322	-77.1216987
517232799	38.8315422	-77.0762187
517243838	39.2943422	-77.6322885
517241043	38.7974722	-77.0481787
517151310	38.9497422	-77.4009886
517207042	38.9227212	-77.1694027
517162984	38.9671222	-77.3513186
517231536	38.7794922	-77.0800587
502890577	38.9058722	-77.0395487
517143494	38.8185822	-77.4319386
508281468	38.9899722	-77.0237487
502891738	38.9305722	-77.0376887
517189464	38.7112423	-77.2304587
517211697	38.7820312	-77.1472937
517231880	38.7835422	-77.0786787
508291726	39.0039692	-76.9772307
517216188	38.8651622	-77.1329887
502917256	38.8997122	-76.9745787
517194207	38.7969422	-77.2168487
517243944	39.2982222	-77.6579085
502900398	38.8952522	-77.0275687
502898837	38.8989322	-77.0288287
517231380	38.8943542	-77.0803167
517163996	38.9462322	-77.3486086
517220341	38.8431992	-77.1159047
502873751	38.9304722	-77.0796887
517162402	38.9305222	-77.3569286
508320874	38.9720422	-76.8741488
508297632	38.8275252	-76.9493517
517224014	38.8972722	-77.1079887
517175846	38.7895022	-77.2855386
517214584	38.7507822	-77.1382687
508259432	39.0435902	-77.1113927
517179990	38.8415422	-77.2680486
502903986	38.8926332	-77.0199737
502913014	38.9004422	-76.9940287
517219120	38.8849922	-77.1219787
517220754	38.9194722	-77.1173587
517185793	38.7209413	-77.2384427
508252477	39.0288712	-77.1388597
517173501	38.8493522	-77.3020886
517113231	39.0468142	-77.7673405
517227613	38.8281622	-77.0915687
517182477	38.8931522	-77.2589386
517241811	38.8026022	-77.0450187
517138610	38.8479822	-77.4581886
502872808	38.9068312	-77.0816047
517152655	39.0337222	-77.3976186
509247098	42.4696618	-83.1231266
517147634	38.9283522	-77.4157486
517169703	38.8531622	-77.3183686
517206380	38.9386222	-77.1746287
508281152	38.9994422	-77.0255587
508254748	38.9893922	-77.1297787
508252709	39.0940722	-77.1393687
508262380	38.9627402	-77.0984557
508227824	39.1930422	-77.2804786
502907754	38.8981122	-77.0096187
517178078	38.8636922	-77.2752986
517229747	38.8135822	-77.0857987
502877712	38.9039922	-77.0606787
517126178	38.7590423	-77.5369486
502916863	38.8999622	-76.9768687
517166461	38.9331522	-77.3371886
517157555	39.0236322	-77.3788486
517233552	38.8393622	-77.0727987
517242378	38.8137622	-77.0433687
508311689	39.1557822	-76.9029187
517236634	38.7989142	-77.0606977
517116799	38.8355123	-77.6540485
517185532	38.7566623	-77.2417587
517217216	38.8168422	-77.1270387
517221690	38.9133922	-77.1146287
508271718	38.9830122	-77.0723887
517146719	38.9940822	-77.4219886
517189189	38.9130422	-77.2309286
502878279	38.9358812	-77.0585827
517162665	38.9795082	-77.3495156
508252526	39.0771332	-77.1397587
517210388	38.9394322	-77.1577387
517211194	38.8706822	-77.1543087
517161488	39.0413122	-77.3607986
517201376	38.7940622	-77.1901987
502906203	38.9639322	-77.0166387
517238152	38.8055722	-77.0577687
517226089	38.8937722	-77.0990887
517150966	38.8381922	-77.4015786
517225866	38.8326122	-77.0997387
517201830	38.8139522	-77.1859787
517168597	38.7953222	-77.3203486
508514969	39.2648822	-77.3467086
502910388	38.8872222	-77.0032087
517147925	39.0179822	-77.4187186
508279088	38.9941602	-77.0313547
517198734	38.7333323	-77.1991687
517140254	38.8989792	-77.4467666
517138828	38.8343522	-77.4552886
517123477	38.9192122	-77.5568685
515824442	32.9172622	-96.2449976
516921171	37.1693867	-80.4215418
517140560	38.8604222	-77.4449286
502872449	38.9272222	-77.0848787
517220489	38.7864622	-77.1168287
502902499	38.9267922	-77.0246087
517208058	38.9259122	-77.1678787
502885175	38.9061528	-77.0417477
517153173	38.9582722	-77.3927086
517156973	38.9690522	-77.3787086
508303676	39.1006722	-76.9299187
508264847	38.9847992	-77.0941737
517227899	38.8374122	-77.0916987
517143429	38.8318322	-77.4339386
508299312	38.8256712	-76.9441927
517167204	38.9620722	-77.3343186
517210474	38.8725242	-77.1541677
511211442	40.7357347	-73.7464676
517186156	38.7843222	-77.2383186
502872329	38.9411522	-77.0864187
517188943	38.9254622	-77.2315186
517181012	38.7472623	-77.2636086
517237629	38.7485922	-77.0593687
502908315	38.8640322	-77.0129387
517219280	38.7231943	-77.1200657
517159137	38.9648322	-77.3700086
517220843	38.8309702	-77.1137817
517192780	38.8688622	-77.2217386
517209556	38.8224522	-77.1599887
517147714	39.0099722	-77.4151786
517190095	38.9196752	-77.2260626
517158978	38.8897022	-77.3687886
517167435	38.9852622	-77.3358086
517140658	38.8228322	-77.4480286
517199280	38.7169423	-77.1970087
508316355	38.9662932	-76.8866267
517240598	38.8530722	-77.0512187
517145446	38.8778222	-77.4248786
517154739	38.8725833	-77.3853636
517210353	38.8809722	-77.1571287
517181357	38.7984522	-77.2590986
517141908	38.8750722	-77.4406786
517150014	38.8903022	-77.4040986
508291860	38.8048092	-76.9770047
516786802	36.8469926	-76.1902291
517216682	38.7484522	-77.1308987
517156277	38.9635122	-77.3801486
517149292	38.8960122	-77.4104986
517201106	38.8344422	-77.1874987
517179596	38.8989422	-77.2699886
508287241	38.9745242	-76.9952977
517226650	38.7451822	-77.0962687
517174278	38.8662222	-77.2963586
517140661	38.8306722	-77.4495186
517236517	38.8040522	-77.0628787
517215994	38.7151524	-77.1316684
517220733	38.9158422	-77.1181187
517207661	38.7960122	-77.1683687
517128043	38.7939423	-77.5175786
517224244	38.7224823	-77.1055587
517152019	38.8715422	-77.3974486
517192184	38.9050422	-77.2229786
502899585	38.8985732	-77.0279957
517234023	38.8072422	-77.0702107
517150247	38.9304822	-77.4067486
502911733	38.8870512	-76.9962197
504153954	26.5873351	-81.8403678
502921524	38.8931522	-76.9156487
517026598	38.4400923	-77.4090286
517201891	38.7751822	-77.1879987
517142923	38.8830422	-77.4353386
517135015	38.7645123	-77.4798286
508238149	39.1416622	-77.2031286
517173606	38.8172022	-77.2999486
517234200	38.7680222	-77.0711687
508249371	39.0238022	-77.1521987
508297162	39.0575522	-76.9539087
517159051	38.9736422	-77.3689386
517053497	38.4201824	-78.8396882
502881961	38.9007642	-77.0449287
517215361	38.8641722	-77.1365387
517137790	38.8943722	-77.4633486
517146799	39.0484422	-77.4217986
517178882	38.8360122	-77.2707786
502894007	38.8973512	-77.0319467
517218024	38.7800422	-77.1251687
517177522	38.8145922	-77.2793086
517151735	38.7727723	-77.3983006
517232312	38.7952522	-77.0767387
507827069	38.6379423	-76.8982988
517136766	38.8449122	-77.4683186
517151834	38.9514992	-77.3959016
508297754	38.7142222	-76.9501587
517168207	38.9672322	-77.3308786
517126273	39.0982282	-77.5245805
516995862	37.5832525	-77.4931086
517113629	39.1330622	-77.7683285
517206432	38.7770822	-77.1766087
517188802	38.9254622	-77.2315186
517153611	39.0124322	-77.3945686
517159253	38.9655222	-77.3670186
502871986	38.9247822	-77.0887887
517243140	38.8090522	-77.0401487
517164790	38.8477322	-77.3402886
502874191	38.9134322	-77.0759387
508340038	39.0972952	-76.8062748
517175998	38.8149922	-77.2857986
517194565	38.8510422	-77.2122687
517015638	38.6124523	-77.2619887
517186513	38.8528022	-77.2356686
517217615	38.8479022	-77.1280287
517143793	38.8933422	-77.4335186
517122698	39.1131222	-77.5640385
517153535	38.9490322	-77.3922786
517169236	38.9425422	-77.3245386
517212635	38.8271322	-77.1452287
516919596	37.2141927	-80.4015078
517014101	38.6731443	-77.2394257
517214691	38.8766622	-77.1390687
517197869	38.8573622	-77.2017287
517130920	38.7984423	-77.5027786
502901062	38.9831822	-77.0270387
517237294	38.8645022	-77.0600787
508521134	39.3556321	-77.4210886
517233167	38.8168222	-77.0744087
508352093	39.1886621	-76.7288588
517202656	38.8527922	-77.1820387
517189754	38.9314822	-77.2289686
517219565	38.8375822	-77.1207687
517226761	38.8864122	-77.0952987
517209543	38.7687822	-77.1589387
517158865	38.8015622	-77.3674086
517213027	38.9197022	-77.1437587
517227534	38.7225523	-77.0929387
517176207	38.8780322	-77.2858286
517216556	38.7275723	-77.1285287
517197119	38.7336823	-77.2067787
502873425	38.9507222	-77.0810587
508236567	39.1436522	-77.2095186
517175450	38.8737322	-77.2941586
517146086	38.9884522	-77.4257186
517177179	38.8935712	-77.2788466
502874312	38.9428722	-77.0764787
517209056	38.9307722	-77.1623387
508261479	38.9567422	-77.1037987
517243646	39.2803022	-77.5812885
517184395	38.8757822	-77.2468186
517186265	38.9265922	-77.2376586
517014372	38.6323393	-77.2544507
517243071	38.8058422	-77.0412687
517121538	38.7644323	-77.5679185
517146387	38.7845723	-77.4217686
517225200	38.7817222	-77.1025587
517115308	38.7462113	-77.6876875
502892499	38.9029422	-77.0351387
502898282	38.8970722	-77.0292487
517230904	38.8475322	-77.0845987
502874008	38.9125712	-77.0755407
517216874	38.8915122	-77.1306887
508230345	39.0816822	-77.2583786
517016684	38.6292923	-77.2756786
517157273	38.9557622	-77.3794786
517171024	38.7594623	-77.3098986
